dataset,method,trial,dm,eps,depth,acc,date,sens,elapsed_ns
adult_clean,LlnRLNM,32,Max,0.01,2,0.7938965059708094,2024-06-26 16:32:17.487346,0.00873864618547329,2158471000.0
adult_clean,LlnRLNM,33,Max,0.01,2,0.7775320654577621,2024-06-26 16:32:19.649449,0.00873864618547329,2136518000.0
adult_clean,LlnRLNM,34,Max,0.01,2,0.8065015479876161,2024-06-26 16:32:21.820204,0.00873864618547329,2145362000.0
adult_clean,LlnRLNM,35,Max,0.01,2,0.7819548872180451,2024-06-26 16:32:23.997548,0.00873864618547329,2151931000.0
adult_clean,LlnRLNM,36,Max,0.01,2,0.7620521892967713,2024-06-26 16:32:26.171673,0.00873864618547329,2148773000.0
adult_clean,LlnRLNM,37,Max,0.01,2,0.7534276868642193,2024-06-26 16:32:28.350113,0.00873864618547329,2150518000.0
adult_clean,LlnRLNM,38,Max,0.01,2,0.8000884564352057,2024-06-26 16:32:30.519183,0.00873864618547329,2144261000.0
adult_clean,LlnRLNM,39,Max,0.01,2,0.7899159663865546,2024-06-26 16:32:32.685990,0.00873864618547329,2142109000.0
adult_clean,LlnRLNM,40,Max,0.01,2,0.8016803006853858,2024-06-26 16:32:34.847934,0.00873864618547329,2135678000.0
adult_clean,LlnRLNM,41,Max,0.01,2,0.7943842582356843,2024-06-26 16:32:37.022578,0.00873864618547329,2149489000.0
adult_clean,LlnRLNM,42,Max,0.01,2,0.7578505086245024,2024-06-26 16:32:39.201541,0.00873864618547329,2153614000.0
adult_clean,LlnRLNM,43,Max,0.01,2,0.7660327288810261,2024-06-26 16:32:41.380669,0.00873864618547329,2151182000.0
adult_clean,LlnRLNM,44,Max,0.01,2,0.7821760283060593,2024-06-26 16:32:43.554315,0.00873864618547329,2149855000.0
adult_clean,LlnRLNM,45,Max,0.01,2,0.8007518796992481,2024-06-26 16:32:45.724133,0.00873864618547329,2145253000.0
adult_clean,LlnRLNM,46,Max,0.01,2,0.778858911985847,2024-06-26 16:32:47.895748,0.00873864618547329,2146886000.0
adult_clean,LlnRLNM,47,Max,0.01,2,0.7996461742591774,2024-06-26 16:32:50.057071,0.00873864618547329,2136347000.0
adult_clean,LlnRLNM,48,Max,0.01,2,0.8003095975232198,2024-06-26 16:32:52.235414,0.00873864618547329,2153237000.0
adult_clean,LlnRLNM,49,Max,0.01,2,0.7914639540026537,2024-06-26 16:32:54.406909,0.00873864618547329,2146635000.0
adult_clean,SmoothLaplaceRLNM,0,Max,0.01,2,0.716559805438868,2024-06-26 16:32:56.612619,0.721299030890175,2177867000.0
adult_clean,SmoothLaplaceRLNM,1,Max,0.01,2,0.6948927702852089,2024-06-26 16:32:57.822055,0.721299030890175,1189712000.0
adult_clean,SmoothLaplaceRLNM,2,Max,0.01,2,0.767359575409111,2024-06-26 16:32:59.973811,0.721299030890175,2126417000.0
adult_clean,SmoothLaplaceRLNM,3,Max,0.01,2,0.7383900928792569,2024-06-26 16:33:01.750970,0.721299030890175,1741214000.0
adult_clean,SmoothLaplaceRLNM,4,Max,0.01,2,0.8051747014595312,2024-06-26 16:33:03.947854,0.721299030890175,2121861000.0
adult_clean,SmoothLaplaceRLNM,5,Max,0.01,2,0.7501105705440071,2024-06-26 16:33:05.542090,0.721299030890175,1571767000.0
adult_clean,SmoothLaplaceRLNM,6,Max,0.01,2,0.7056612118531623,2024-06-26 16:33:06.766354,0.721299030890175,1203866000.0
adult_clean,SmoothLaplaceRLNM,7,Max,0.01,2,0.7627156125608138,2024-06-26 16:33:09.011468,0.721299030890175,2217031000.0
adult_clean,SmoothLaplaceRLNM,8,Max,0.01,2,0.7357363998230871,2024-06-26 16:33:10.224058,0.721299030890175,1193149000.0
